Cidade,latitude,longitude,altitude,estacao
Água Clara,-20448,-52878,303,A756
Alcinópolis,-18324,-53706,443,
Amambai,-23104,-55226,480,A750
Anastácio,-20484,-55807,160,
Anaurilândia,-22188,-52718,312,
Angélica,-22153,-53771,358,S701
Antônio João,-22191,-55948,681,
Aparecida do Taboado,-20087,-51094,392,
Aquidauana,-20471,-55787,147,A719
Aral Moreira,-22934,-55635,609,S702
Bandeirantes,-19918,-54364,629,S703
Bataguassu,-21714,-52422,329,A759
Bataiporã,-22295,-53271,334,
Bela Vista,-22109,-56521,180,
Bodoquena,-20539,-56715,132,
Bonito,-21121,-56482,315,S704
Brasilândia,-21256,-52037,343,
Caarapó,-22634,-54822,471,S706
Camapuã,-19531,-54044,409,S707
Campo Grande,-20443,-54646,532,A702
Caracol,-22014,-57024,212,
Cassilândia,-19113,-51734,470,A742
Chapadão do Sul,-18794,-52623,790,A730
Corguinho,-19832,-54829,320,
Coronel Sapucaia,-23272,-55529,510,
Corumbá,-19009,-57653,118,A724
Costa Rica,-18544,-53129,641,A760
Coxim,-18507,-54760,238,A720
Deodápolis,-22276,-54165,418,
Dois Irmãos do Buriti,-20680,-55296,320,
Douradina,-22040,-54613,553,
Dourados,-22221,-54806,430,A721
Eldorado,-23787,-54284,342,
Fátima do Sul,-22374,-54514,352,S708
Figueirão,-18679,-53638,396,
Glória de Dourados,-22418,-54233,400,
Guia Lopes da Laguna,-21458,-56114,272,
Iguatemi,-23680,-54561,342,S709
Inocência,-19726,-51930,502,
Itaporã,-22079,-54789,390,S710
Itaquiraí,-23474,-54185,340,A752
Ivinhema,-22305,-53815,362,A709
Japorã,-23891,-54404,357,
Jaraguari,-20142,-54399,589,
Jardim,-21480,-56138,259,A758
Jateí,-22482,-54303,396,
Juti,-22861,-54603,373,A749
Ladário,-19005,-57602,114,
Laguna Carapã,-22546,-55150,509,S711
Maracaju,-21614,-55168,384,A731
Miranda,-20241,-56378,125,A722
Mundo Novo,-23938,-54271,324,
Naviraí,-23065,-54191,362,
Nioaque,-21135,-55830,200,
Nova Alvorada do Sul,-21466,-54384,407,S712
Nova Andradina,-22233,-53343,380,S713
Novo Horizonte do Sul,-22672,-53861,320,
Paranaíba,-19677,-51191,374,A710
Paranhos,-23893,-55431,429,
Pedro Gomes,-18101,-54552,282,S714
Ponta Porã,-22536,-55726,655,A703
Porto Murtinho,-21699,-57883,90,A723
Ribas do Rio Pardo,-20443,-53759,369,S715
Rio Brilhante,-21802,-54546,312,A743
Rio Negro,-19449,-54987,279,
Rio Verde de Mato Grosso,-18918,-54844,330,
Rochedo,-19953,-54893,260,
Santa Rita do Pardo,-21303,-52831,360,S716
São Gabriel do Oeste,-19395,-54566,658,A732
Selvíria,-20367,-51419,357,
Sete Quedas,-23970,-55036,407,A751
Sidrolândia,-20932,-54961,484,A754
Sonora,-17577,-54758,442,A761
Tacuru,-23633,-55016,372,
Taquarussu,-22488,-53351,276,
Terenos,-20442,-54860,437,
Três Lagoas,-20751,-51678,319,A704
Vicentina,-22409,-54436,368,
